timestamp,source,target,link,range,rx_power,fp_power,wifi_rssi
2026-07-15T01:02:28.873+00:00,A,B,A-B,2.14,-80.43,-91.8,-65
2026-07-15T01:02:29.023+00:00,A,B,A-B,2.14,-80.45,-91.8,-65
2026-07-15T01:02:29.353+00:00,A,B,A-B,2.14,-80.14,-91.8,-64
2026-07-15T01:02:29.720+00:00,A,D,A-D,2.79,-80.34,54.95,-65
2026-07-15T01:02:29.870+00:00,A,B,A-B,2.12,-80.63,-91.8,-65
2026-07-15T01:02:34.595+00:00,B,D,B-D,3.49,-83.65,54.91,-60
2026-07-15T01:02:34.736+00:00,B,D,B-D,3.44,-79.12,54.91,-59
2026-07-15T01:02:35.081+00:00,B,D,B-D,3.45,-84.59,54.91,-59
2026-07-15T01:02:37.610+00:00,A,C,A-C,3.42,-80.34,0.0,-65
2026-07-15T01:02:50.898+00:00,A,B,A-B,2.17,-87.62,-92.04,-66
2026-07-15T01:02:51.427+00:00,A,B,A-B,2.11,-80.57,-91.57,-67
2026-07-15T01:02:51.588+00:00,A,B,A-B,2.11,-80.67,-91.47,-65
2026-07-15T01:02:52.453+00:00,A,B,A-B,2.13,-80.26,-91.47,-65
2026-07-15T01:02:52.579+00:00,A,B,A-B,2.12,-80.58,-91.47,-66
2026-07-15T01:02:52.717+00:00,A,B,A-B,2.13,-80.35,-91.47,-66
2026-07-15T01:02:52.866+00:00,A,B,A-B,2.13,-80.78,-91.47,-66
2026-07-15T01:02:53.007+00:00,A,B,A-B,2.13,-80.92,-91.47,-67
2026-07-15T01:02:53.271+00:00,A,B,A-B,2.13,-80.76,-91.47,-66
2026-07-15T01:02:53.422+00:00,A,B,A-B,2.13,-80.58,-91.47,-64
2026-07-15T01:02:53.621+00:00,A,B,A-B,2.13,-80.28,-91.47,-65
2026-07-15T01:02:53.774+00:00,A,B,A-B,2.12,-80.52,-91.47,-66
2026-07-15T01:03:01.076+00:00,A,D,A-D,2.83,-80.26,54.95,-64
2026-07-15T01:03:01.356+00:00,A,D,A-D,2.82,-80.54,54.95,-65
2026-07-15T01:03:01.710+00:00,A,D,A-D,2.84,-80.94,54.95,-77
2026-07-15T01:03:01.953+00:00,A,D,A-D,2.79,-80.51,54.95,-69
2026-07-15T01:03:06.917+00:00,B,D,B-D,2.17,-79.61,54.91,-61
2026-07-15T01:03:06.921+00:00,C,D,C-D,2.17,-79.61,54.91,-56
2026-07-15T01:03:17.613+00:00,A,D,A-D,2.82,-80.93,54.95,-45
2026-07-15T01:03:17.769+00:00,A,D,A-D,2.86,-80.65,54.95,-43
